,bert_umap_0,bert_umap_1,bert_umap_2,bert_umap_3,bert_umap_4,summary_umap_0,summary_umap_1,summary_umap_2,summary_umap_3,summary_umap_4
54,2.3790665,8.7883415,12.720162,5.2221956,3.177416,8.508952,7.3952684,2.3607144,3.909777,3.4015632
55,-0.059286177,5.8857155,8.083197,4.924823,6.229706,7.4921865,6.7544627,3.0641553,5.1648107,2.2202845
56,0.3311353,6.17784,8.276754,4.868995,5.860041,8.360045,6.3924837,2.976096,5.743793,3.5047863
57,-0.85921645,5.9765244,7.5272775,4.953798,5.620104,6.870991,7.1198926,2.8299463,3.2452407,4.759114
58,0.23132962,6.075946,7.886036,4.3999686,5.7031574,8.506345,6.307463,3.7489362,5.0175757,2.2842443
59,-0.50484335,5.408637,6.893973,3.907394,6.448443,8.940923,6.2428584,3.6618166,4.7734065,2.26001
60,4.526219,6.3317833,10.827067,3.5689723,4.5232363,8.277238,5.4812703,2.8605075,4.1038465,5.1782484
61,0.6762086,6.448713,8.503139,4.8183813,5.7897267,7.641152,7.1339707,3.000936,3.8498816,3.162818
62,-1.2533511,7.018635,5.961574,2.60166,5.0191226,6.490648,7.1549034,4.4804673,4.3861365,3.8568702
63,2.4098053,4.7167454,9.275621,3.6276448,5.588563,8.476143,7.1318407,3.3526607,4.3507266,4.0817976
64,2.1497817,6.1464705,11.164707,4.530378,7.685614,7.568146,7.520585,2.741921,4.2767563,2.6217105
65,1.057918,4.813167,8.4806385,4.1554074,6.0869727,9.004136,6.995052,2.1972468,4.8048368,3.5465684
66,-1.9668045,7.590322,4.6568003,3.400671,5.8954496,7.2128983,7.0769367,4.7241626,4.0627327,3.903178
67,-0.021013493,5.947147,8.062655,4.9033065,6.143672,10.85954,6.5846605,3.1755147,3.8840346,2.6782875
68,5.0999603,6.9564233,9.955051,2.9995975,4.8180423,8.643825,7.18351,4.129698,4.699849,2.6968124
69,-1.4476792,7.225417,4.944806,3.882694,6.2708073,6.7085576,7.1347113,4.5716004,4.0548377,4.0350876
70,-1.8045069,8.44646,4.2058306,2.8158224,5.1898313,6.271649,7.022995,4.56562,4.4532146,3.6049685
71,-2.0550396,8.282802,4.174633,2.8186593,5.2955766,6.356612,7.311046,4.504149,4.6425705,3.7863944
72,-1.8684466,7.246728,5.645666,3.9503622,6.315532,7.9974136,7.1503787,2.8620796,4.3913574,2.455844
73,5.0696325,-0.028874787,11.04755,3.3542087,6.5825453,5.6121893,0.7651461,-0.09930569,1.4802191,-3.2238228
74,1.2965183,5.7433715,8.796961,3.966742,5.984665,8.953882,6.3033195,1.7831212,4.3812046,4.917965
75,-0.97237635,6.9023232,5.804834,4.330633,6.2005305,6.9938836,6.738248,4.1291656,4.922198,2.898411
76,-1.2726226,7.0749726,5.8607965,2.4695046,4.986634,10.756007,6.532097,3.2369251,3.773584,2.8101766
77,-1.5087926,6.9582815,5.7499967,2.7174037,5.0952187,6.3287683,6.8592634,4.085712,4.238209,3.1548314
78,3.5054696,6.5811687,9.882944,3.9371908,5.459755,9.397962,7.190154,2.839251,4.8978286,4.572861
79,3.6558297,8.038907,9.452199,2.2672093,3.4889078,6.5112977,6.6372786,4.5261035,4.3793254,3.2650816
80,-0.008705361,6.2828093,7.6570587,3.4937265,5.557035,6.5997243,6.9109674,4.372089,4.938746,2.9533691
81,3.316485,4.8272257,10.711365,3.6162455,5.7312493,8.499686,7.0320234,2.9733083,5.4521823,4.0613008
82,-1.5704104,7.1447673,5.673193,2.1942027,4.834948,7.6239038,7.014946,2.005465,5.44601,4.4139752
83,-2.0024385,7.36709,4.620462,3.4113379,5.7289615,6.7456355,7.1143284,4.4055896,3.9224381,3.8737466
84,-1.2482234,8.042803,5.2553635,3.2845654,6.343689,6.6604843,7.6573114,4.116633,4.7736354,2.9786596
85,-0.95574266,7.087151,6.5766244,3.6865757,6.471141,6.5468693,7.1375475,4.611131,4.4398065,3.6411116
86,1.081235,6.171756,8.582157,3.8465838,5.819438,6.592297,6.6001678,4.198734,4.9170833,2.903126
87,-1.4380351,7.2317963,5.04976,3.8812263,6.2643905,6.4656725,7.1518197,4.31402,4.2948627,3.9654322
88,-1.6759266,6.6147394,4.7332187,3.8480082,6.098223,7.2998576,7.167235,4.3660626,3.663923,3.6522677
89,-1.7224766,6.772716,4.8168445,3.791016,6.1104302,7.0280952,6.973481,4.4341555,3.6793149,3.9591305
90,-1.4618578,6.415012,5.9705944,3.9466152,6.7308717,7.167675,6.752969,3.575155,5.773503,2.5384986
91,-1.5315287,6.7902837,5.7972655,4.3341637,6.18238,6.678078,7.088727,4.5506124,3.9248483,4.081295
92,-0.805858,6.4037423,6.618579,3.8357844,6.2227807,6.9789934,7.0218267,4.0767503,4.094286,3.9177752
93,-0.27017018,5.8768888,8.042876,5.035214,6.3799577,7.2483344,6.7334924,3.5836833,4.7551084,2.4984665
94,-0.2879072,5.8751907,8.059829,5.044123,6.4138184,8.219133,7.178103,2.5578105,4.771213,1.7669698
95,-1.0883319,7.0159183,6.424628,3.8251925,6.397754,7.9874463,7.2149177,2.750438,4.6745195,2.2298884
96,-1.381845,6.3395915,6.199401,4.141413,6.3332777,6.507772,6.9239287,4.426685,3.9658515,3.7189918
97,-0.025898594,6.09593,7.7480006,3.6823208,5.892998,7.8465858,6.476671,3.4487731,5.365807,1.7589363
98,-0.04721802,6.1350303,7.719917,3.6274974,5.8584642,7.272857,6.7324343,3.4075155,5.4030704,1.8472824
99,-2.433775,7.574958,5.227386,3.855947,7.08192,7.434785,7.0158987,4.455976,3.8673844,3.4725602
100,-1.2894837,7.276458,5.009121,4.079473,6.3281884,7.987171,6.806028,3.583182,4.685922,2.0027232
101,-0.98641974,6.8513403,5.877704,4.335621,6.1921325,6.7646265,7.1504016,4.7014,4.1151633,3.6377552
102,0.9360307,5.6961055,8.094933,4.4899044,6.8035398,7.88681,6.567775,3.8016024,4.8179283,2.4964821
103,-0.4362686,5.2444687,7.260312,4.226211,6.283886,6.5010195,7.0227685,4.498364,4.083582,3.7971087
104,-0.46010286,6.848391,6.1860876,3.4690554,5.744221,7.092738,6.8863153,4.4849563,4.416307,3.4876537
105,-0.6189684,6.6422653,6.376943,4.3056397,6.066964,7.93261,7.116499,2.779032,4.461018,2.4391484
106,-2.2858016,8.758282,4.2952275,3.367217,4.9745197,7.912693,7.118893,2.9050534,4.4410014,2.435678
